epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3369,3.97635,3.41316,3.23092,0,0,0,0,5.89263,4.4849,4.21584,0.000364161,0.000364161,0.000364161
2,35.4585,2.12085,2.24046,2.06862,0.0754,0.15971,0.05441,0.02953,4.1027,4.16709,3.0355,0.00073304,0.00073304,0.00073304
3,51.6291,1.73191,1.9443,1.95386,0.35314,0.49131,0.34148,0.20184,1.61671,1.97862,2.07564,0.00110045,0.00110045,0.00110045
4,68.4497,1.53282,1.77716,1.87476,0.46848,0.48336,0.36928,0.22851,1.57498,2.01103,2.05831,0.0011044,0.0011044,0.0011044
5,83.1283,1.43803,1.70037,1.83665,0.51415,0.52537,0.44403,0.30301,1.33441,1.69345,1.98148,0.0011022,0.0011022,0.0011022
6,98.4988,1.32162,1.62197,1.80478,0.51023,0.49176,0.46901,0.33728,1.23708,1.58943,2.00298,0.0011,0.0011,0.0011
7,113.616,1.30066,1.56896,1.77547,0.54215,0.51515,0.51344,0.35448,1.30952,1.49431,1.95043,0.0010978,0.0010978,0.0010978
8,128.444,1.22735,1.49158,1.74484,0.58137,0.52699,0.54545,0.40645,1.09053,1.41802,1.90996,0.0010956,0.0010956,0.0010956
9,143.262,1.17139,1.45626,1.70856,0.58619,0.53318,0.5579,0.41013,1.16411,1.3726,1.93013,0.0010934,0.0010934,0.0010934
10,157.847,1.16635,1.39517,1.69869,0.61361,0.5718,0.61268,0.4554,1.08387,1.30494,1.87437,0.0010912,0.0010912,0.0010912
11,172.485,1.11399,1.40365,1.66357,0.62214,0.54233,0.57989,0.43619,1.06688,1.46778,1.89021,0.001089,0.001089,0.001089
12,186.227,1.07959,1.37364,1.62719,0.57739,0.60557,0.63413,0.47796,1.03309,1.25719,1.85141,0.0010868,0.0010868,0.0010868
13,201.477,1.06968,1.28244,1.67547,0.60414,0.5669,0.58135,0.42425,1.07265,1.46809,1.83918,0.0010846,0.0010846,0.0010846
14,215.433,1.05779,1.25181,1.6494,0.65419,0.58062,0.66299,0.50489,1.00693,1.21228,1.81547,0.0010824,0.0010824,0.0010824
15,230.063,1.0143,1.19908,1.61054,0.65348,0.59173,0.6754,0.52633,0.94552,1.16379,1.81783,0.0010802,0.0010802,0.0010802
