epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,363.905,1.13311,1.63234,2.22308,0.48118,0.5582,0.49487,0.35074,1.07443,1.57053,2.54389,0.00102081,0.00102081,0.00102081
43,371.126,1.13582,1.6275,2.29379,0.49716,0.53604,0.47385,0.33923,1.0558,1.61504,2.5673,0.00101861,0.00101861,0.00101861
44,378.949,1.12267,1.61242,2.2838,0.44583,0.57124,0.47984,0.33813,1.09307,1.72264,2.51222,0.00101641,0.00101641,0.00101641
45,385.849,1.09708,1.58197,2.21494,0.47883,0.5374,0.48509,0.33851,1.08083,1.61565,2.54172,0.00101421,0.00101421,0.00101421
46,392.426,1.1368,1.58939,2.26316,0.50337,0.55246,0.51008,0.36398,1.06562,1.54748,2.53265,0.00101201,0.00101201,0.00101201
47,399.476,1.12894,1.62492,2.26315,0.50119,0.54542,0.50568,0.35967,1.06075,1.54698,2.55462,0.00100981,0.00100981,0.00100981
48,406.26,1.10645,1.57542,2.2583,0.47914,0.56831,0.50655,0.35954,1.05805,1.57069,2.54989,0.00100761,0.00100761,0.00100761
49,412.768,1.12183,1.57882,2.25756,0.50155,0.55593,0.51722,0.3724,1.05665,1.50952,2.5176,0.00100541,0.00100541,0.00100541
50,419.704,1.12236,1.57355,2.26337,0.47897,0.57253,0.52255,0.37153,1.07791,1.52466,2.50158,0.00100321,0.00100321,0.00100321
51,426.869,1.08344,1.55723,2.19894,0.4706,0.56208,0.49656,0.35024,1.03796,1.6368,2.53305,0.00100101,0.00100101,0.00100101
52,433.574,1.06108,1.55445,2.14193,0.5126,0.56291,0.52176,0.37128,1.0327,1.55038,2.52327,0.000998811,0.000998811,0.000998811
53,440.528,1.08522,1.5635,2.20432,0.47924,0.55863,0.51194,0.36813,1.05958,1.5735,2.48837,0.000996611,0.000996611,0.000996611
54,447.037,1.10161,1.55429,2.27736,0.49247,0.57834,0.53163,0.38111,1.05771,1.50688,2.48897,0.000994412,0.000994412,0.000994412
55,454.2,1.06147,1.52353,2.12839,0.49044,0.56554,0.50922,0.36236,1.06509,1.56262,2.49205,0.000992212,0.000992212,0.000992212
56,460.756,1.06611,1.52518,2.19897,0.51458,0.54968,0.52692,0.38028,1.03185,1.49294,2.49458,0.000990012,0.000990012,0.000990012
57,468.001,1.06129,1.51712,2.16497,0.51508,0.56496,0.51862,0.37406,1.02221,1.60468,2.50612,0.000987812,0.000987812,0.000987812
58,474.756,1.04957,1.50326,2.13675,0.53843,0.54574,0.53084,0.38012,1.04886,1.51203,2.47353,0.000985613,0.000985613,0.000985613
59,481.354,1.06338,1.52058,2.18728,0.51134,0.54749,0.54081,0.38778,1.05609,1.48871,2.47844,0.000983413,0.000983413,0.000983413
60,488.173,1.05987,1.51292,2.19128,0.57399,0.54523,0.56471,0.40691,1.01903,1.45614,2.48104,0.000981213,0.000981213,0.000981213
61,495.039,1.085,1.53359,2.23037,0.54481,0.53714,0.52997,0.38267,1.01301,1.51602,2.48049,0.000979013,0.000979013,0.000979013
