epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1862.9,0.7809,0.89562,1.81059,0.78309,0.69941,0.80744,0.66287,0.73723,0.87375,2.03657,0.00102081,0.00102081,0.00102081
43,1906.47,0.75393,0.88352,1.79132,0.80007,0.66596,0.79827,0.65381,0.75943,0.91352,2.04359,0.00101861,0.00101861,0.00101861
44,1950.36,0.74912,0.85919,1.79184,0.73825,0.66678,0.7759,0.62877,0.76387,0.96306,2.04792,0.00101641,0.00101641,0.00101641
45,1994.11,0.74559,0.86245,1.75565,0.76329,0.71662,0.81006,0.66133,0.7634,0.87248,2.00405,0.00101421,0.00101421,0.00101421
46,2037.78,0.74253,0.84923,1.80155,0.7654,0.7186,0.80993,0.66888,0.73707,0.88048,2.03089,0.00101201,0.00101201,0.00101201
47,2081.48,0.7598,0.86924,1.79464,0.77501,0.72684,0.81616,0.67419,0.72867,0.84801,2.01229,0.00100981,0.00100981,0.00100981
48,2125.86,0.71903,0.83137,1.75385,0.71942,0.74902,0.81138,0.6693,0.72818,0.85624,2.02053,0.00100761,0.00100761,0.00100761
49,2169.54,0.74349,0.84048,1.7849,0.78142,0.72252,0.82732,0.67603,0.74929,0.84695,1.99443,0.00100541,0.00100541,0.00100541
50,2213.92,0.7488,0.83296,1.77934,0.75304,0.72177,0.81163,0.66881,0.72335,0.84171,2.01035,0.00100321,0.00100321,0.00100321
51,2257.6,0.71166,0.81107,1.73779,0.75042,0.71117,0.80036,0.66104,0.73422,0.89509,2.00406,0.00100101,0.00100101,0.00100101
52,2301.32,0.73348,0.8266,1.75284,0.74284,0.7218,0.80674,0.65642,0.75542,0.90282,1.99063,0.000998811,0.000998811,0.000998811
53,2344.98,0.73549,0.8473,1.77494,0.77944,0.71442,0.82386,0.68088,0.72007,0.83704,1.99655,0.000996611,0.000996611,0.000996611
54,2389.12,0.72326,0.81362,1.77154,0.76493,0.75462,0.83226,0.6893,0.71875,0.80994,1.98495,0.000994412,0.000994412,0.000994412
55,2433.3,0.70537,0.7999,1.7223,0.72321,0.71997,0.79986,0.65906,0.7271,0.88628,2.01099,0.000992212,0.000992212,0.000992212
56,2476.87,0.7022,0.78905,1.73123,0.74524,0.731,0.81277,0.6773,0.69943,0.84351,1.99666,0.000990012,0.000990012,0.000990012
57,2520.45,0.71643,0.80588,1.75978,0.71948,0.70764,0.79762,0.65166,0.74337,0.90474,2.00708,0.000987812,0.000987812,0.000987812
58,2564.04,0.73002,0.81066,1.75552,0.75135,0.72373,0.81801,0.67361,0.72791,0.84972,2.00443,0.000985613,0.000985613,0.000985613
59,2607.63,0.72286,0.79615,1.77174,0.76998,0.74782,0.83714,0.68909,0.72211,0.82619,1.97135,0.000983413,0.000983413,0.000983413
60,2651.67,0.71457,0.80728,1.74683,0.76888,0.74956,0.82723,0.68241,0.72107,0.83609,2.00185,0.000981213,0.000981213,0.000981213
61,2695.31,0.71887,0.79837,1.76963,0.73204,0.74901,0.81592,0.6755,0.71617,0.8511,1.97938,0.000979013,0.000979013,0.000979013
