epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,498.907,0.83298,0.90605,1.44681,0.74556,0.70683,0.79949,0.64696,0.78965,0.87465,1.60974,0.00102081,0.00102081,0.00102081
43,510.898,0.82395,0.86934,1.48711,0.78324,0.67344,0.79043,0.64507,0.80112,0.89245,1.59082,0.00101861,0.00101861,0.00101861
44,522.585,0.81393,0.85987,1.48593,0.68654,0.71927,0.76592,0.61515,0.80228,0.9387,1.61155,0.00101641,0.00101641,0.00101641
45,534.279,0.79961,0.82151,1.47418,0.7017,0.69449,0.77523,0.62975,0.77648,0.93396,1.59828,0.00101421,0.00101421,0.00101421
46,545.945,0.79016,0.83734,1.49109,0.73609,0.70353,0.79312,0.64857,0.75626,0.87232,1.61713,0.00101201,0.00101201,0.00101201
47,557.957,0.78258,0.84738,1.48773,0.71673,0.71173,0.78709,0.63782,0.76928,0.89069,1.60753,0.00100981,0.00100981,0.00100981
48,569.629,0.7711,0.81405,1.47415,0.76826,0.71112,0.80747,0.66561,0.7408,0.82678,1.60247,0.00100761,0.00100761,0.00100761
49,581.617,0.77071,0.80582,1.47502,0.71918,0.71522,0.78803,0.6464,0.75602,0.8765,1.59706,0.00100541,0.00100541,0.00100541
50,593.232,0.79062,0.81608,1.49918,0.70789,0.69063,0.76333,0.61838,0.78741,0.96088,1.61664,0.00100321,0.00100321,0.00100321
51,604.881,0.7701,0.81003,1.46087,0.74589,0.72106,0.7921,0.6506,0.74639,0.84072,1.59049,0.00100101,0.00100101,0.00100101
52,616.499,0.74124,0.80134,1.44705,0.75068,0.70412,0.78813,0.6499,0.7427,0.85001,1.59734,0.000998811,0.000998811,0.000998811
53,628.162,0.78296,0.81778,1.45259,0.7477,0.68787,0.78352,0.63251,0.79223,0.90586,1.58682,0.000996611,0.000996611,0.000996611
54,639.811,0.81356,0.8318,1.49718,0.75993,0.69208,0.79284,0.65003,0.76555,0.84779,1.6024,0.000994412,0.000994412,0.000994412
55,651.434,0.76114,0.79609,1.41231,0.70213,0.70418,0.76529,0.62693,0.77464,0.92792,1.59831,0.000992212,0.000992212,0.000992212
