epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,305.123,0.95056,1.05807,1.48175,0.68288,0.64926,0.71577,0.56482,0.88872,1.08028,1.64641,0.00102081,0.00102081,0.00102081
43,312.396,0.94669,1.03516,1.53184,0.70462,0.64947,0.73168,0.58779,0.85718,0.98904,1.64706,0.00101861,0.00101861,0.00101861
44,319.424,0.92171,1.0257,1.51402,0.71925,0.62807,0.72025,0.56946,0.87896,1.0702,1.63256,0.00101641,0.00101641,0.00101641
45,326.585,0.92292,1.01365,1.50918,0.70715,0.60256,0.69911,0.54736,0.91152,1.09663,1.64287,0.00101421,0.00101421,0.00101421
46,333.912,0.94436,1.03099,1.53628,0.74056,0.62083,0.73006,0.57798,0.9024,1.00673,1.64975,0.00101201,0.00101201,0.00101201
47,340.798,0.93422,1.03508,1.52462,0.70673,0.64623,0.72159,0.57155,0.86952,1.03612,1.65573,0.00100981,0.00100981,0.00100981
48,348.544,0.92345,1.00058,1.52214,0.66632,0.59303,0.65513,0.50872,0.9144,1.26007,1.66829,0.00100761,0.00100761,0.00100761
49,355.53,0.91539,1.00456,1.5232,0.7274,0.62673,0.7273,0.58106,0.85171,1.0476,1.66467,0.00100541,0.00100541,0.00100541
50,362.255,0.92793,1.00596,1.54408,0.72135,0.65093,0.73883,0.58834,0.83947,0.98985,1.64342,0.00100321,0.00100321,0.00100321
51,369.832,0.89654,0.98937,1.50682,0.71602,0.63553,0.73023,0.57879,0.87148,1.02355,1.63676,0.00100101,0.00100101,0.00100101
52,377.077,0.87305,0.99809,1.47843,0.67688,0.63186,0.69112,0.55285,0.8431,1.12922,1.64224,0.000998811,0.000998811,0.000998811
53,384.599,0.89837,0.99031,1.49647,0.68852,0.6395,0.70311,0.5467,0.90128,1.06155,1.63522,0.000996611,0.000996611,0.000996611
54,391.742,0.91204,0.97304,1.53003,0.6932,0.6446,0.72261,0.57825,0.84589,1.01658,1.63856,0.000994412,0.000994412,0.000994412
55,398.967,0.87843,0.96449,1.44422,0.74515,0.63543,0.73222,0.57834,0.87568,1.00347,1.62912,0.000992212,0.000992212,0.000992212
56,405.574,0.88218,0.95176,1.50331,0.73739,0.64167,0.73709,0.59005,0.85441,0.99623,1.62985,0.000990012,0.000990012,0.000990012
57,412.888,0.87062,0.94539,1.47366,0.67576,0.60314,0.67326,0.53056,0.89497,1.17712,1.67755,0.000987812,0.000987812,0.000987812
58,420.072,0.87194,0.94226,1.46019,0.75335,0.6494,0.75449,0.60927,0.83367,0.93888,1.62659,0.000985613,0.000985613,0.000985613
59,427.698,0.87798,0.93736,1.48961,0.62518,0.61587,0.66264,0.51617,0.89392,1.1722,1.66174,0.000983413,0.000983413,0.000983413
60,434.727,0.87766,0.95692,1.50713,0.7647,0.64848,0.75,0.60643,0.81707,0.9582,1.61851,0.000981213,0.000981213,0.000981213
