epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,302.646,0.9494,1.01003,1.47232,0.68959,0.67113,0.74995,0.5944,0.87477,0.96919,1.64042,0.00102081,0.00102081,0.00102081
43,309.412,0.94734,1.01793,1.51657,0.72725,0.64269,0.74358,0.59375,0.87577,0.96614,1.6322,0.00101861,0.00101861,0.00101861
44,316.291,0.91539,0.96703,1.50263,0.73553,0.67163,0.7642,0.60794,0.86695,0.92188,1.60842,0.00101641,0.00101641,0.00101641
45,324.392,0.90941,0.95269,1.49588,0.71992,0.64966,0.7431,0.5977,0.84672,0.96142,1.6193,0.00101421,0.00101421,0.00101421
46,331.386,0.9347,0.99706,1.52453,0.69698,0.68942,0.75702,0.60185,0.87337,0.94024,1.64494,0.00101201,0.00101201,0.00101201
47,338.733,0.92715,0.99298,1.50963,0.70207,0.67427,0.75203,0.60032,0.85566,0.95934,1.63477,0.00100981,0.00100981,0.00100981
48,345.681,0.91243,0.95593,1.50443,0.72641,0.66466,0.76012,0.60874,0.84282,0.94815,1.61623,0.00100761,0.00100761,0.00100761
49,353.209,0.91125,0.9626,1.50704,0.70864,0.62606,0.72407,0.58278,0.85252,1.06699,1.63786,0.00100541,0.00100541,0.00100541
50,360.278,0.91173,0.94423,1.51783,0.69291,0.67275,0.73685,0.58576,0.85997,1.00519,1.6408,0.00100321,0.00100321,0.00100321
51,367.558,0.8957,0.94636,1.49815,0.70688,0.6774,0.74495,0.59464,0.83877,0.9337,1.62089,0.00100101,0.00100101,0.00100101
52,374.593,0.87198,0.94499,1.46806,0.66757,0.67432,0.72991,0.58631,0.85467,1.00202,1.6099,0.000998811,0.000998811,0.000998811
53,381.902,0.88623,0.92963,1.48504,0.70422,0.68616,0.75755,0.60153,0.87181,0.93463,1.60354,0.000996611,0.000996611,0.000996611
54,389.036,0.89826,0.93954,1.514,0.72022,0.65822,0.7571,0.61259,0.81205,0.92572,1.61007,0.000994412,0.000994412,0.000994412
55,396.084,0.87235,0.92235,1.43481,0.67312,0.68188,0.74363,0.58521,0.86351,0.99067,1.61149,0.000992212,0.000992212,0.000992212
56,403.328,0.8688,0.91368,1.48776,0.73346,0.64966,0.74373,0.60171,0.83028,0.98717,1.61711,0.000990012,0.000990012,0.000990012
57,410.625,0.86215,0.9114,1.46614,0.6939,0.64433,0.72248,0.57314,0.85314,1.05147,1.62431,0.000987812,0.000987812,0.000987812
58,417.532,0.86362,0.89836,1.44935,0.73884,0.67608,0.77128,0.62327,0.82012,0.91192,1.61687,0.000985613,0.000985613,0.000985613
59,424.518,0.87208,0.90842,1.47616,0.71512,0.6837,0.765,0.61283,0.84388,0.91436,1.61095,0.000983413,0.000983413,0.000983413
60,431.525,0.86626,0.8976,1.49738,0.7384,0.65685,0.76933,0.622,0.80542,0.93445,1.59948,0.000981213,0.000981213,0.000981213
61,438.533,0.88373,0.90785,1.509,0.72882,0.68881,0.77839,0.62458,0.81465,0.90191,1.59496,0.000979013,0.000979013,0.000979013
62,446.081,0.88306,0.89338,1.48299,0.73906,0.67967,0.77755,0.62758,0.8084,0.89049,1.59949,0.000976813,0.000976813,0.000976813
63,452.637,0.86189,0.87935,1.48692,0.74104,0.67067,0.77202,0.62626,0.81655,0.8989,1.58647,0.000974614,0.000974614,0.000974614
64,460.097,0.85698,0.88122,1.47567,0.76723,0.67554,0.78718,0.63391,0.81487,0.88368,1.59144,0.000972414,0.000972414,0.000972414
65,467.398,0.84163,0.86566,1.46086,0.71205,0.67146,0.75936,0.6125,0.81544,0.93398,1.60777,0.000970214,0.000970214,0.000970214
66,474.804,0.82546,0.8401,1.45636,0.74865,0.66932,0.77084,0.62123,0.80926,0.90443,1.59161,0.000968014,0.000968014,0.000968014
67,482.163,0.84134,0.85706,1.46821,0.70355,0.68684,0.75664,0.60379,0.84637,0.95114,1.6007,0.000965815,0.000965815,0.000965815
68,488.849,0.86576,0.88511,1.49613,0.69058,0.61651,0.71508,0.5754,0.81888,1.077,1.58773,0.000963615,0.000963615,0.000963615
69,496.082,0.82699,0.83934,1.46036,0.73342,0.67965,0.76487,0.61148,0.84533,0.91625,1.60647,0.000961415,0.000961415,0.000961415
70,503.624,0.83201,0.84781,1.46374,0.71043,0.7041,0.76815,0.62058,0.80833,0.89891,1.59287,0.000959215,0.000959215,0.000959215
71,510.218,0.82571,0.84111,1.45569,0.76112,0.69544,0.79156,0.64148,0.79946,0.86659,1.57857,0.000957015,0.000957015,0.000957015
72,517.947,0.85257,0.84749,1.4661,0.71957,0.70034,0.77568,0.62796,0.80714,0.89891,1.60599,0.000954816,0.000954816,0.000954816
73,525.364,0.85727,0.85182,1.48679,0.75478,0.70266,0.79649,0.64885,0.78444,0.84469,1.57403,0.000952616,0.000952616,0.000952616
74,531.802,0.82432,0.84829,1.46715,0.75886,0.67869,0.78328,0.63161,0.81312,0.87667,1.56972,0.000950416,0.000950416,0.000950416
75,538.895,0.84202,0.84382,1.46774,0.73171,0.7116,0.7915,0.64477,0.79791,0.84707,1.58097,0.000948216,0.000948216,0.000948216
76,546.322,0.81957,0.82982,1.43476,0.75111,0.69224,0.78915,0.64553,0.78176,0.86645,1.57859,0.000946016,0.000946016,0.000946016
77,553.788,0.82109,0.83559,1.44923,0.76051,0.6801,0.78359,0.63349,0.81785,0.87501,1.55787,0.000943817,0.000943817,0.000943817
78,560.99,0.84081,0.83432,1.48561,0.76278,0.68778,0.78513,0.643,0.77869,0.86197,1.58364,0.000941617,0.000941617,0.000941617
79,567.738,0.81131,0.80818,1.44726,0.76173,0.68478,0.79296,0.64673,0.79145,0.85261,1.58215,0.000939417,0.000939417,0.000939417
80,575.037,0.80796,0.80802,1.43666,0.77918,0.69847,0.80552,0.65817,0.78618,0.83135,1.5649,0.000937217,0.000937217,0.000937217
81,582.376,0.79241,0.80371,1.43527,0.7322,0.70593,0.79131,0.64975,0.77086,0.84806,1.56775,0.000935018,0.000935018,0.000935018
82,589.189,0.80505,0.81266,1.47418,0.76776,0.69912,0.79721,0.64768,0.7897,0.83578,1.56993,0.000932818,0.000932818,0.000932818
83,596.611,0.80505,0.81801,1.4566,0.75351,0.70856,0.80351,0.65604,0.77418,0.83979,1.55817,0.000930618,0.000930618,0.000930618
84,603.27,0.83689,0.8443,1.44002,0.77124,0.69817,0.79321,0.64807,0.77297,0.85161,1.56896,0.000928418,0.000928418,0.000928418
85,610.601,0.8157,0.8132,1.45026,0.77132,0.68805,0.79545,0.64685,0.79033,0.85022,1.56651,0.000926218,0.000926218,0.000926218
86,617.592,0.82873,0.82053,1.44947,0.75366,0.69632,0.79553,0.65024,0.765,0.83724,1.56265,0.000924019,0.000924019,0.000924019
87,624.444,0.82271,0.82722,1.46419,0.76866,0.70134,0.79844,0.65002,0.77909,0.82584,1.55694,0.000921819,0.000921819,0.000921819
88,631.773,0.81094,0.80316,1.45201,0.74036,0.69803,0.78301,0.63795,0.78591,0.88408,1.56383,0.000919619,0.000919619,0.000919619
89,639.447,0.82808,0.81611,1.47372,0.75372,0.68997,0.79233,0.64673,0.77879,0.83814,1.55559,0.000917419,0.000917419,0.000917419
90,646.263,0.81251,0.78927,1.45517,0.78466,0.66698,0.7832,0.64359,0.76848,0.85227,1.56214,0.00091522,0.00091522,0.00091522
91,653.841,0.78836,0.78163,1.43275,0.73201,0.71631,0.79516,0.65213,0.76927,0.86006,1.56544,0.00091302,0.00091302,0.00091302
92,660.558,0.83317,0.81288,1.46294,0.74465,0.73057,0.80788,0.65794,0.77503,0.82331,1.54411,0.00091082,0.00091082,0.00091082
93,667.975,0.80164,0.7894,1.43111,0.74423,0.72422,0.80502,0.66297,0.75197,0.81455,1.56805,0.00090862,0.00090862,0.00090862
94,675.456,0.79354,0.79259,1.41765,0.75873,0.71417,0.79795,0.65288,0.75487,0.82093,1.56407,0.00090642,0.00090642,0.00090642
95,682.363,0.80873,0.79769,1.46501,0.75191,0.69619,0.79228,0.64456,0.7724,0.87402,1.56598,0.000904221,0.000904221,0.000904221
96,689.391,0.80161,0.80405,1.45038,0.78278,0.71577,0.81391,0.66461,0.76486,0.80042,1.55989,0.000902021,0.000902021,0.000902021
97,696.278,0.76712,0.77357,1.41428,0.73664,0.68036,0.77243,0.63059,0.77063,0.89592,1.56552,0.000899821,0.000899821,0.000899821
98,703.586,0.79609,0.79283,1.45679,0.7622,0.6855,0.79016,0.64857,0.7687,0.8444,1.55344,0.000897621,0.000897621,0.000897621
99,710.675,0.78404,0.76499,1.43071,0.77309,0.69112,0.79713,0.65473,0.76271,0.84737,1.56719,0.000895422,0.000895422,0.000895422
100,717.885,0.78,0.76949,1.43344,0.75543,0.71094,0.80328,0.66076,0.75817,0.81971,1.55714,0.000893222,0.000893222,0.000893222
101,725.05,0.80726,0.79527,1.46003,0.71472,0.6888,0.77187,0.63511,0.75176,0.88288,1.55133,0.000891022,0.000891022,0.000891022
102,732.398,0.78711,0.77975,1.44005,0.77741,0.6931,0.79753,0.6548,0.75868,0.83624,1.55998,0.000888822,0.000888822,0.000888822
103,739.342,0.78605,0.75752,1.43741,0.80269,0.68191,0.8054,0.66003,0.75749,0.82342,1.55813,0.000886622,0.000886622,0.000886622
104,746.071,0.7815,0.76479,1.43798,0.76526,0.72412,0.81001,0.66374,0.75389,0.79785,1.55233,0.000884423,0.000884423,0.000884423
105,753.478,0.78309,0.77629,1.42374,0.77628,0.67518,0.79098,0.64732,0.75472,0.84614,1.55562,0.000882223,0.000882223,0.000882223
106,760.405,0.75215,0.7422,1.41447,0.76735,0.73847,0.81654,0.67088,0.74353,0.7746,1.53529,0.000880023,0.000880023,0.000880023
107,767.655,0.78481,0.75304,1.43515,0.79045,0.65837,0.78839,0.64511,0.76386,0.84705,1.56557,0.000877823,0.000877823,0.000877823
108,774.909,0.78889,0.75706,1.42626,0.75913,0.70834,0.80114,0.66116,0.74469,0.81329,1.55102,0.000875624,0.000875624,0.000875624
109,783.094,0.79401,0.77065,1.45439,0.78241,0.71249,0.81815,0.67416,0.73962,0.7809,1.53798,0.000873424,0.000873424,0.000873424
110,790.731,0.7924,0.7658,1.44514,0.77153,0.71145,0.81379,0.66949,0.7593,0.79141,1.54831,0.000871224,0.000871224,0.000871224
111,799.561,0.77648,0.76068,1.4475,0.76027,0.70772,0.80807,0.66491,0.74879,0.80303,1.54607,0.000869024,0.000869024,0.000869024
112,807.112,0.79442,0.75018,1.48415,0.73421,0.71958,0.79705,0.65307,0.7431,0.83035,1.54658,0.000866824,0.000866824,0.000866824
113,815.391,0.79378,0.76598,1.43429,0.74137,0.71287,0.80014,0.65782,0.75394,0.81008,1.54808,0.000864625,0.000864625,0.000864625
114,822.97,0.79121,0.7619,1.44635,0.78099,0.71657,0.80943,0.66346,0.75343,0.79489,1.53649,0.000862425,0.000862425,0.000862425
115,830.828,0.78787,0.75401,1.44687,0.79549,0.7069,0.81149,0.66792,0.74381,0.79092,1.54406,0.000860225,0.000860225,0.000860225
116,838.446,0.76983,0.73714,1.44282,0.75591,0.7236,0.80654,0.66035,0.74454,0.79922,1.54692,0.000858025,0.000858025,0.000858025
117,845.592,0.76957,0.74703,1.4345,0.75739,0.72689,0.80853,0.67015,0.73455,0.79149,1.54177,0.000855826,0.000855826,0.000855826
118,852.191,0.77145,0.74979,1.41542,0.78005,0.69505,0.80787,0.66431,0.73939,0.8004,1.54685,0.000853626,0.000853626,0.000853626
119,859.224,0.75927,0.74133,1.42251,0.7836,0.69073,0.80691,0.66596,0.73621,0.81395,1.53911,0.000851426,0.000851426,0.000851426
120,866.426,0.78994,0.75462,1.43053,0.78817,0.71788,0.81581,0.66973,0.74573,0.796,1.5353,0.000849226,0.000849226,0.000849226
121,873.403,0.75562,0.72778,1.40341,0.7159,0.74502,0.80836,0.67142,0.72429,0.80559,1.53933,0.000847026,0.000847026,0.000847026
122,880.598,0.76123,0.71974,1.43788,0.76601,0.70264,0.80523,0.66294,0.73662,0.80884,1.53944,0.000844827,0.000844827,0.000844827
123,887.912,0.76116,0.72507,1.44188,0.77394,0.72172,0.81212,0.67143,0.73978,0.788,1.54572,0.000842627,0.000842627,0.000842627
124,895.102,0.75803,0.72675,1.43414,0.75708,0.70883,0.80195,0.66519,0.7356,0.80151,1.541,0.000840427,0.000840427,0.000840427
125,902.133,0.75572,0.73612,1.43648,0.75607,0.68209,0.78875,0.64814,0.74918,0.86511,1.54805,0.000838227,0.000838227,0.000838227
126,909.028,0.77723,0.74067,1.44453,0.80212,0.69352,0.81025,0.66445,0.7618,0.79715,1.54158,0.000836027,0.000836027,0.000836027
127,916.317,0.76395,0.73906,1.42229,0.76293,0.7395,0.8216,0.6795,0.72913,0.7802,1.53778,0.000833828,0.000833828,0.000833828
128,923.433,0.7486,0.72244,1.39353,0.74411,0.72602,0.80734,0.67026,0.73679,0.81355,1.537,0.000831628,0.000831628,0.000831628
129,930.846,0.74862,0.71468,1.41202,0.76006,0.70595,0.80548,0.66675,0.72594,0.82439,1.53993,0.000829428,0.000829428,0.000829428
130,937.824,0.75797,0.71797,1.42644,0.75339,0.73574,0.8189,0.67564,0.73686,0.78611,1.53956,0.000827228,0.000827228,0.000827228
131,944.745,0.77575,0.73366,1.41807,0.76933,0.70146,0.80848,0.66411,0.74681,0.80406,1.52652,0.000825029,0.000825029,0.000825029
132,952.305,0.76831,0.72797,1.44373,0.77279,0.72159,0.81071,0.67412,0.71632,0.77721,1.54292,0.000822829,0.000822829,0.000822829
133,959.038,0.74413,0.6994,1.43121,0.75924,0.73994,0.8149,0.67394,0.74007,0.78143,1.53856,0.000820629,0.000820629,0.000820629
134,966.315,0.74521,0.71253,1.41719,0.7746,0.72964,0.82257,0.68323,0.72156,0.76359,1.53268,0.000818429,0.000818429,0.000818429
135,973.541,0.75852,0.70249,1.42356,0.77127,0.72569,0.80959,0.67134,0.72363,0.79092,1.54021,0.000816229,0.000816229,0.000816229
136,980.781,0.76398,0.71302,1.4108,0.77222,0.74026,0.82277,0.6848,0.7143,0.75529,1.52997,0.00081403,0.00081403,0.00081403
137,987.51,0.75516,0.71752,1.42124,0.79277,0.68959,0.80484,0.6689,0.73553,0.81201,1.53859,0.00081183,0.00081183,0.00081183
138,995.098,0.75911,0.71929,1.43388,0.73759,0.70342,0.78877,0.6471,0.75024,0.84524,1.54489,0.00080963,0.00080963,0.00080963
139,1002.2,0.75019,0.71422,1.41143,0.77914,0.71906,0.81494,0.67689,0.71842,0.77531,1.54197,0.00080743,0.00080743,0.00080743
140,1009.5,0.73586,0.70357,1.41138,0.76692,0.74522,0.81465,0.67689,0.72333,0.77662,1.53739,0.000805231,0.000805231,0.000805231
141,1016.73,0.74397,0.70784,1.40596,0.78847,0.7282,0.82072,0.68124,0.72117,0.76603,1.54129,0.000803031,0.000803031,0.000803031
142,1023.3,0.71623,0.68199,1.3963,0.7768,0.72837,0.81693,0.68267,0.71272,0.76694,1.54058,0.000800831,0.000800831,0.000800831
143,1030.4,0.76417,0.7042,1.407,0.7971,0.70412,0.81463,0.67108,0.73584,0.78949,1.52709,0.000798631,0.000798631,0.000798631
144,1037.66,0.7587,0.69945,1.399,0.78588,0.73319,0.8161,0.67545,0.72982,0.76432,1.52542,0.000796431,0.000796431,0.000796431
145,1045.4,0.73071,0.67577,1.42741,0.80807,0.69606,0.81683,0.6789,0.71551,0.76828,1.52865,0.000794232,0.000794232,0.000794232
146,1051.75,0.75055,0.68931,1.40267,0.78675,0.72577,0.82181,0.6818,0.72835,0.7593,1.52251,0.000792032,0.000792032,0.000792032
147,1059.25,0.75622,0.70166,1.43082,0.78822,0.74013,0.8265,0.6877,0.71365,0.75086,1.51869,0.000789832,0.000789832,0.000789832
148,1066.55,0.73292,0.67528,1.4404,0.76353,0.73402,0.81121,0.67535,0.72062,0.78857,1.52982,0.000787632,0.000787632,0.000787632
149,1073.95,0.74065,0.68623,1.42454,0.77693,0.71138,0.81275,0.67394,0.72677,0.77609,1.52786,0.000785433,0.000785433,0.000785433
150,1080.38,0.72865,0.66912,1.41254,0.7759,0.72722,0.81182,0.67575,0.71194,0.77531,1.53128,0.000783233,0.000783233,0.000783233
151,1088,0.73253,0.68302,1.42137,0.77995,0.6969,0.80248,0.66469,0.72814,0.80896,1.5363,0.000781033,0.000781033,0.000781033
152,1095,0.71425,0.65463,1.41641,0.77536,0.72188,0.81596,0.67554,0.7248,0.78217,1.53169,0.000778833,0.000778833,0.000778833
153,1102.3,0.7335,0.68068,1.43899,0.77131,0.72452,0.81064,0.67575,0.71642,0.78035,1.53327,0.000776633,0.000776633,0.000776633
154,1109.68,0.74117,0.6877,1.40593,0.7906,0.74512,0.82786,0.6937,0.69516,0.72988,1.5236,0.000774434,0.000774434,0.000774434
155,1117.12,0.73935,0.69043,1.42986,0.77045,0.73485,0.81289,0.67807,0.71164,0.78398,1.5334,0.000772234,0.000772234,0.000772234
156,1124.08,0.76344,0.71684,1.42068,0.74755,0.74342,0.81399,0.67302,0.72177,0.76889,1.52849,0.000770034,0.000770034,0.000770034
157,1131.28,0.75707,0.69665,1.42585,0.79422,0.72166,0.82009,0.67948,0.7149,0.76634,1.52854,0.000767834,0.000767834,0.000767834
158,1138.2,0.72885,0.68303,1.41244,0.76868,0.74416,0.82532,0.68761,0.7073,0.75746,1.51867,0.000765635,0.000765635,0.000765635
159,1145.53,0.75849,0.69899,1.43748,0.79519,0.71464,0.82109,0.68255,0.71515,0.76519,1.52518,0.000763435,0.000763435,0.000763435
160,1152.49,0.75929,0.69325,1.43438,0.81569,0.71864,0.8238,0.68704,0.71231,0.7422,1.53114,0.000761235,0.000761235,0.000761235
161,1159.91,0.73659,0.6809,1.40593,0.78311,0.74015,0.82183,0.6836,0.70895,0.76074,1.52885,0.000759035,0.000759035,0.000759035
162,1166.9,0.73065,0.67904,1.41714,0.78396,0.74139,0.82365,0.68181,0.7083,0.75624,1.52776,0.000756835,0.000756835,0.000756835
163,1174.07,0.73124,0.68898,1.40534,0.77423,0.72085,0.81664,0.67808,0.72099,0.76704,1.53308,0.000754636,0.000754636,0.000754636
164,1180.61,0.70907,0.65807,1.41735,0.78583,0.72569,0.81008,0.67527,0.70728,0.7715,1.52862,0.000752436,0.000752436,0.000752436
